List,Accession,Symbol,Protein Name,Proteomics,No. of peptides,MaxScore,Vasomotricity,BBB-Specific Proteins,Tight Junction and/or Adhesion Proteins,Membrane Transporter and Channel Proteins,ECM and Basal Lamina Proteins,Chun et al.,,
List 1,O08859,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein,Gel-LC only,1,40,,,,,,,,
List 1,Q673H1,TUSC1,Tumor suppressor candidate gene 1 protein homolog,Gel-LC only,1,40,,,,,,,,
List 1,P00520,ABL1,Tyrosine-protein kinase ABL1,Gel-LC only,1,40,,,,,,,,
List 1,P52332,JAK1,Tyrosine-protein kinase JAK1,Gel-LC only,1,40,,,,,,,,
List 1,P35235,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,Gel-LC only,1,40,,,,,,,,
List 1,Q8R5K2,USP33,Ubiquitin carboxyl-terminal hydrolase 33,Gel-LC only,1,40,,,,,,,,
List 1,P58321,UCHL4,Ubiquitin carboxyl-terminal hydrolase isozyme L4,Gel-LC only,1,40,,,,,,,,
List 1,P21126,UBL4A,Ubiquitin-like protein 4A,Gel-LC only,1,40,,,,,,,,
List 1,Q9CQ84,UBL4B,Ubiquitin-like protein 4B,Gel-LC only,1,40,,,,,,,,
List 1,Q80U59,KIAA0232,Uncharacterized protein KIAA0232,Gel-LC only,1,40,,,,,,,,
List 1,Q3TCX3,KIAA0907,UPF0469 protein KIAA0907,Gel-LC only,1,40,,,,,,,,
List 1,Q8VHL0,SLC14A1,Urea transporter 1,Gel-LC only,1,40,,,,,,,,
List 1,Q80TY5,VPS13B,Vacuolar protein sorting-associated protein 13B,Gel-LC only,1,40,,,,,,,,
List 1,Q8VHW3,CACNG6,Voltage-dependent calcium channel gamma-6 subunit,Gel-LC only,1,40,,,,,,,,
List 1,Q9WTT4,ATP6V1G2,V-type proton ATPase subunit G 2,Gel-LC only,1,40,,,,,,,,
List 1,Q9CQK1,ZNHIT3,Zinc finger HIT domain-containing protein 3,Gel-LC only,1,40,,,,,,,,
List 1,O70230,ZNF143,Zinc finger protein 143,Gel-LC only,1,40,,,,,,,,
List 1,Q9WUK6,ZNF238,Zinc finger protein 238,Gel-LC only,1,40,,,,,,,,
List 1,Q8BY46,ZNF574,Zinc finger protein 574,Gel-LC only,1,40,,,,,,,,
List 1,Q6KAQ7,ZZZ3,ZZ-type zinc finger-containing protein 3,Gel-LC only,1,40,,,,,,,,
List 1,Q8BFP9,PDK1,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1, mitochondrial",,,,,,,,,,,
List 1,P51432,PLCB3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,Yes,,,,,,,
List 1,P16330,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",,,,,,,,,,,
List 1,Q8BG32,PSMD11,26S proteasome non-ATPase regulatory subunit 11,,,,,,,,,,,
List 1,Q8VE22,MRPS23,"28S ribosomal protein S23, mitochondrial",,,,,,,,,,,
List 1,Q80X85,MRPS7,"28S ribosomal protein S7, mitochondrial",,,,,,,,,,,
List 1,Q6PDY2,ADO,2-aminoethanethiol dioxygenase,,,,,,,,,,,
List 1,Q6IYF8,OXGR1,2-oxoglutarate receptor 1,,,,,,,,,,,
List 1,Q9CPR5,MRPL15,"39S ribosomal protein L15, mitochondrial",,,,,,,,,,,
List 1,Q9D8P4,MRPL17,"39S ribosomal protein L17, mitochondrial",,,,,,,,,,,
List 1,Q9JKF7,MRPL39,"39S ribosomal protein L39, mitochondrial",,,,,,,,,,,
List 1,Q8JZV9,BDH2,3-hydroxybutyrate dehydrogenase type 2,,,,,,,,,,,
List 1,Q8JZS7,HMGCLL1,"3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic",,,,,,,,,,,
List 1,Q8VCX1,AKR1D1,3-oxo-5-beta-steroid 4-dehydrogenase,,,,,,,,,,,
List 1,Q9Z2A0,PDPK1,3-phosphoinositide-dependent protein kinase 1,,,,,,,,,,,
List 1,Q9JLJ2,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,,,,,,,,,,,
List 1,Q9QYP6,AZI2,5-azacytidine-induced protein 2,,,,,,,,,,,
List 1,P23979,HTR3A,5-hydroxytryptamine receptor 3A,,,,,,,,,,,
List 1,Q6ZWV7,RPL35,60S ribosomal protein L35,,,,,,,,,,,
List 1,P70266,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",,,,,,,,,,,
List 1,P47857,PFKM,"6-phosphofructokinase, muscle type",,,,,,,,,,,
List 1,P97857,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,,,,,,,,,,,
List 1,Q68SA9,ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7,,,,,,,,,,,
List 1,Q4JIM5,ABL2,Abelson tyrosine-protein kinase 2,,,,,,,,,,,
List 1,P97822,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E,,,,,,,,,,,
List 1,P23578,ACR,Acrosin,,,,,,,,,,,
List 1,P50289,ACRV1,Acrosomal protein SP-10,,,,,,,,,,,
List 1,Q61271,ACVR1B,Activin receptor type-1B,,,,,,,,,,,
List 1,Q14DH7,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",,,,,,,,,,,
List 1,Q8BWN8,ACOT4,Acyl-coenzyme A thioesterase 4,,,,,,,,,,,
List 1,Q9R0X2,ADAMDEC1,ADAM DEC1,,,,,,,,,,,
List 1,Q64010,CRK,Adapter molecule crk,,,,,,,,,,,
List 1,Q01341,ADCY6,Adenylate cyclase type 6,,,,,,,,,,,
List 1,Q9R0Y5,AK1,Adenylate kinase isoenzyme 1,,,,,,,,,,,
List 1,P97297,ADM,ADM,,,,,,,,,,,
List 1,Q8VDL4,ADPGK,ADP-dependent glucokinase,,,,,,,,,,,
List 1,Q9D8S3,ARFGAP3,ADP-ribosylation factor GTPase-activating protein 3,,,,,,,,,,,
List 1,Q6P5E6,GGA2,ADP-ribosylation factor-binding protein GGA2,,,,,,,,,,,
List 1,Q9D4P0,ARL5B,ADP-ribosylation factor-like protein 5B,,,,,,,,,,,
List 1,O88573,AFF1,AF4/FMR2 family member 1,,,,,,,,,,,
List 1,O88845,AKAP10,"A-kinase anchor protein 10, mitochondrial",,,,,,,,,,,
List 1,Q3UEG6,AGXT2,"Alanine--glyoxylate aminotransferase 2, mitochondrial",,,,,,,,,,,
List 1,Q80VQ0,ALDH3B1,Aldehyde dehydrogenase family 3 member B1,,,,,,,,,,,
List 1,Q9DBE8,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",,,,,,,,,,,
List 1,Q765H6,MGAT5B,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",,,,,,,,,,,
List 1,P29699,AHSG,Alpha-2-HS-glycoprotein,,,,,,,,,,,
List 1,Q6GQT1,A2MP,Alpha-2-macroglobulin-P,,,,,,,,,,,
List 1,P46660,INA,Alpha-internexin,,,,,,,,,,,
List 1,O09174,AMACR,Alpha-methylacyl-CoA racemase,,,,,,,,,,,
List 1,Q9QZ39,ST6GALNAC1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",,,,,,,,,,,
List 1,Q8BXQ6,AOPEP,Aminopeptidase O,,,,,,,,,,,
List 1,Q9QXP0,RHCG,Ammonium transporter Rh type C,,,,,,,,,,,
List 1,Q80ZD9,AMIGO2,Amphoterin-induced protein 2,,,,,,,,,,,
List 1,Q9DCH6,ZFAND6,AN1-type zinc finger protein 6,,,,,,,,,,,
List 1,P07146,PRSS2,Anionic trypsin-2,,,,,,,,,,,
List 1,Q8VHS6,ASB15,Ankyrin repeat and SOCS box protein 15,,,,,,,,,,,
List 1,Q8VHA6,ASB18,Ankyrin repeat and SOCS box protein 18,,,,,,,,,,,
List 1,Q80UP5,ANKRD13A,Ankyrin repeat domain-containing protein 13A,,,,,,,,,,,
List 1,Q9D2X0,ANKRD39,Ankyrin repeat domain-containing protein 39,,,,,,,,,,,
List 1,Q69ZU8,ANKRD6,Ankyrin repeat domain-containing protein 6,,,,,,,,,,,
List 1,Q8BHY3,ANO1,Anoctamin-1,,,,,,,,,,,
List 1,Q9WVP1,AP1M2,AP-1 complex subunit mu-2,,,,,,,,,,,
List 1,Q3UHJ0,AAK1,AP2-associated protein kinase 1,,,,,,,,,,,
List 1,Q80V94,AP4E1,AP-4 complex subunit epsilon-1,,,,,,,,,,,
List 1,Q00623,APOA1,Apolipoprotein A-I,,,,,,,,,,,
List 1,O88879,APAF1,Apoptotic protease-activating factor 1,,,,,,,,,,,
List 1,O35936,ALOX15B,Arachidonate 15-lipoxygenase B,,,,,,,,,,,
List 1,Q68FF6,GIT1,ARF GTPase-activating protein GIT1,,,,,,,,,,,
List 1,Q4LDD4,ARAP1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",,,,,,,,,,,
List 1,Q8R5G7,ARAP3,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",,,,,,,,,,,
List 1,Q9DBR3,ARMC8,Armadillo repeat-containing protein 8,,,,,,,,,,,
List 1,Q61324,ARNT2,Aryl hydrocarbon receptor nuclear translocator 2,,,,,,,,,,,
List 1,Q9WTL8,ARNTL,Aryl hydrocarbon receptor nuclear translocator-like protein 1,,,,,,,,,,,
List 1,Q3U1U7,AHRR,Aryl hydrocarbon receptor repressor,,,,,,,,,,,
List 1,Q99PG0,AADAC,Arylacetamide deacetylase,,,,,,,,,,,
List 1,P28658,ATXN10,Ataxin-10,,,,,,,,,,,
List 1,Q811I0,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,,,,,,,,,,,
List 1,Q9CZ42,CARKD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,,,,,,,,,,,
List 1,Q61655,DDX19A,ATP-dependent RNA helicase DDX19A,,,,,,,,,,,
List 1,P70180,NPR3,Atrial natriuretic peptide receptor 3,,,,Yes,,,,,,,
List 1,Q9Z1N7,ARID3B,AT-rich interactive domain-containing protein 3B,,,,,,,,,,,
List 1,A6PWV5,ARID3C,AT-rich interactive domain-containing protein 3C,,,,,,,,,,,
List 1,Q67E05,BPI,Bactericidal permeability-increasing protein,,,,,,,,,,,
List 1,Q80TT2,BAIAP3,BAI1-associated protein 3,,,,,,,,,,,
List 1,P04919,SLC4A1,Band 3 anion transport protein,,,,,,,,,,,
List 1,Q9QYE3,BCL11A,B-cell lymphoma/leukemia 11A,,,,,,,,,,,
List 1,Q6PFX2,BEND6,BEN domain-containing protein 6,,,,,,,,,,,
List 1,Q01339,APOH,Beta-2-glycoprotein 1,,,,,,,,,,,
List 1,Q99KR3,LACTB2,Beta-lactamase-like protein 2,,,,,,,,,,,
List 1,Q9DBL7,COASY,Bifunctional coenzyme A synthase,,,,,,,,,,,
List 1,Q8R016,BLMH,Bleomycin hydrolase,,,,,,,,,,,
List 1,Q9ES83,BVES,Blood vessel epicardial substance,,,,,,,,,,,
List 1,Q9D0L6,BAMBI,BMP and activin membrane-bound inhibitor homolog,,,,,,,,,,,
List 1,P21275,BMP4,Bone morphogenetic protein 4,,,,,,,,,,,
List 1,P49003,BMP5,Bone morphogenetic protein 5,,,,,,,,,,,
List 1,Q91XV3,BASP1,Brain acid soluble protein 1,,,,,,,,,,,
List 1,Q3U1T3,BRMS1L,Breast cancer metastasis-suppressor 1-like protein,,,,,,,,,,,
List 1,Q8BXV2,BRI3BP,BRI3-binding protein,,,,,,,,,,,
List 1,Q8C726,BTBD9,BTB/POZ domain-containing protein 9,,,,,,,,,,,
List 1,Q62556,BTN1A1,Butyrophilin subfamily 1 member A1,,,,,,,,,,,
List 1,P08607,C4BPA,C4b-binding protein,,,,,,,,,,,
List 1,O88338,CDH16,Cadherin-16,,,,,,,,,,,
List 1,P39038,CDH4,Cadherin-4,,,,,,,,,,,
List 1,Q8VHP6,CDHR1,Cadherin-related family member 1,,,,,,,,,,,
List 1,Q8VHF2,CDHR5,Cadherin-related family member 5,,,,,,,,,,,
List 1,Q64338,PDE1C,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",,,,,,,,,,,
List 1,Q8CGU1,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,,,,,,,,,,,
List 1,A2ASZ8,SLC25A25,Calcium-binding mitochondrial carrier protein SCaMC-2,,,,,,,,,,,
List 1,Q9D424,CABYR,Calcium-binding tyrosine phosphorylation-regulated protein,,,,,,,,,,,
List 1,Q6P8Y1,CAPSL,Calcyphosin-like protein,,,,,,,,,,,
List 1,Q8CDE2,CCIN,Calicin,,,,,,,,,,,
List 1,Q80Y50,CAMTA2,Calmodulin-binding transcription activator 2,,,,,,,,,,,
List 1,Q91WQ9,CALML4,Calmodulin-like protein 4,,,,,,,,,,,
List 1,P05132,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,,,,,,,,,,,
List 1,P63248,PKIA,cAMP-dependent protein kinase inhibitor alpha,,,,,,,,,,,
List 1,P56212,ARPP19,cAMP-regulated phosphoprotein 19,,,,,,,,,,,
List 1,Q8CI96,CLIP4,CAP-Gly domain-containing linker protein 4,,,,,,,,,,,
List 1,Q05A80,CAPRIN2,Caprin-2,,,,,,,,,,,
List 1,Q9DBC3,FTSJD2,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,,,,,,,,,,,
List 1,Q9DBB9,CPN2,Carboxypeptidase N subunit 2,,,,,,,,,,,
List 1,Q99MX7,CECR6,Cat eye syndrome critical region protein 6 homolog,,,,,,,,,,,
List 1,Q8BIG7,COMTD1,Catechol O-methyltransferase domain-containing protein 1,,,,Yes,,,,,,,
List 1,A2RTF1,CATSPERB,Cation channel sperm-associated protein subunit beta,,,,,,,,,,,
List 1,Q03366,CCL7,C-C motif chemokine 7,,,,,,,,,,,
List 1,Q00322,CEBPD,CCAAT/enhancer-binding protein delta,,,,,,,,,,,
List 1,Q9DCG2,CD302,CD302 antigen,,,,,,,,,,,
List 1,P27548,CD40LG,CD40 ligand,,,,,,,,,,,
List 1,O88324,CD83,CD83 antigen,,,,,,,,,,,
List 1,P56198,CIDEC,Cell death activator CIDE-3,,,,,,,,,,,
List 1,Q9JJ66,CDC20,Cell division cycle protein 20 homolog,,,,,,,,,,,
List 1,Q08288,LYAR,Cell growth-regulating nucleolar protein,,,,,,,,,,,
List 1,Q8CB62,CNTROB,Centrobin,,,,,,,,,,,
List 1,Q3UXL4,PLK1S1,Centrosomal protein kizuna,,,,,,,,,,,
List 1,Q9DBS8,POC5,Centrosomal protein POC5,,,,,,,,,,,
List 1,Q8K4Q7,CERK,Ceramide kinase,,,,,,,,,,,
List 1,Q3UMW8,CLN5,Ceroid-lipofuscinosis neuronal protein 5 homolog,,,,,,,,,,,
List 1,Q8CG03,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",,,,,,,,,,,
List 1,Q60936,ADCK3,"Chaperone activity of bc1 complex-like, mitochondrial",,,,,,,,,,,
List 1,Q921W0,CHMP1A,Charged multivesicular body protein 1a,,,,,,,,,,,
List 1,Q9WTK2,CDYL,Chromodomain Y-like protein,,,,,,,,,,,
List 1,P0CG14,CHTF8,Chromosome transmission fidelity protein 8 homolog isoform 2,,,,,,,,,,,
List 1,P05208,CELA2A,Chymotrypsin-like elastase family member 2A,,,,,,,,,,,
List 1,Q9CR35,CTRB1,Chymotrypsinogen B,,,,,,,,,,,
List 1,Q9D7U6,CLDN22,Claudin-22,,,,,,,,,,,
List 1,O35054,CLDN4,Claudin-4,,,,,,,,,,,
List 1,O54942,CLDN5,Claudin-5,,,,,,,,,,,
List 1,Q8BQZ5,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,,,,,,,,,,,
List 1,Q8CFC7,CLASRP,CLK4-associating serine/arginine rich protein,,,,,,,,,,,
List 1,O35638,STAG2,Cohesin subunit SA-2,,,,,,,,,,,
List 1,Q8K1A6,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,,,,,,,,,,,
List 1,Q5SPX1,CCDC157,Coiled-coil domain-containing protein 157,,,,,,,,,,,
List 1,Q3ULW6,CCDC33,Coiled-coil domain-containing protein 33,,,,,,,,,,,
List 1,Q5SV66,CCDC42,Coiled-coil domain-containing protein 42A,,,,,,,,,,,
List 1,Q9CR29,CCDC43,Coiled-coil domain-containing protein 43,,,,,,,,,,,
List 1,Q8C4J0,CCDC60,Coiled-coil domain-containing protein 60,,,,,,,,,,,
List 1,Q8VEG0,CCDC71,Coiled-coil domain-containing protein 71,,,,,,,,,,,
List 1,Q9CQP3,CHCHD5,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,,,,,,,,,,,
List 1,Q923P0,COL20A1,Collagen alpha-1(XX) chain,,,,,,,,,,,
List 1,Q9D1D6,CTHRC1,Collagen triple helix repeat-containing protein 1,,,,,,,,,,,
List 1,Q4ZJN1,C1QTNF9,Complement C1q and tumor necrosis factor-related protein 9,,,,,,,,,,,
List 1,Q8BVD7,C1QTNF7,Complement C1q tumor necrosis factor-related protein 7,,,,,,,,,,,
List 1,Q99388,CSPRS,Component of Sp100-rs,,,,,,,,,,,
List 1,P29268,CTGF,Connective tissue growth factor,,,,,,,,,,,
List 1,Q9D2V7,CORO7,Coronin-7,,,,,,,,,,,
List 1,P56469,CORT,Cortistatin,,,,,,,,,,,
List 1,Q68ED7,CRTC1,CREB-regulated transcription coactivator 1,,,,,,,,,,,
List 1,Q91X84,CRTC3,CREB-regulated transcription coactivator 3,,,,,,,,,,,
List 1,Q5SUQ9,CTC1,CST complex subunit CTC1,,,,,,,,,,,
List 1,P35343,CXCR2,C-X-C chemokine receptor type 2,,,,,,,,,,,
List 1,Q8BH52,CREB3L2,Cyclic AMP-responsive element-binding protein 3-like protein 2,,,,,,,,,,,
List 1,P39689,CDKN1A,Cyclin-dependent kinase inhibitor 1,,,,,,,,,,,
List 1,Q8BLF2,CDKL3,Cyclin-dependent kinase-like 3,,,,,,,,,,,
List 1,Q6P8I6,COX11,"Cytochrome c oxidase assembly protein COX11, mitochondrial",,,,,,,,,,,
List 1,Q8BJ03,COX15,Cytochrome c oxidase assembly protein COX15 homolog,,,,,,,,,,,
List 1,Q9D816,CYP2C55,Cytochrome P450 2C55,,,,,,,,,,,
List 1,Q05421,CYP2E1,Cytochrome P450 2E1,,,,,,,,,,,
List 1,P33267,CYP2F2,Cytochrome P450 2F2,,,,,,,,,,,
List 1,O54750,CYP2J6,Cytochrome P450 2J6,,,,,,,,,,,
List 1,Q64459,CYP3A11,Cytochrome P450 3A11,,,,,,,,,,,
List 1,Q64464,CYP3A13,Cytochrome P450 3A13,,,,,,,,,,,
List 1,Q9JMA7,CYP3A41A,Cytochrome P450 3A41,,,,,,,,,,,
List 1,P26955,CSF2RB,Cytokine receptor common subunit beta,,,,,,,,,,,
List 1,P28271,ACO1,Cytoplasmic aconitate hydratase,,,,,,,,,,,
List 1,Q812E0,CPEB2,Cytoplasmic polyadenylation element-binding protein 2,,,,,,,,,,,
List 1,Q50L43,PLA2G4D,Cytosolic phospholipase A2 delta,,,,,,,,,,,
List 1,Q3V1L4,NT5C2,Cytosolic purine 5'-nucleotidase,,,,,,,,,,,
List 1,Q2KN98,SPECC1L,Cytospin-A,,,,,,,,,,,
List 1,Q5SXY1,SPECC1,Cytospin-B,,,,,,,,,,,
List 1,Q9QYB2,DACH1,Dachshund homolog 1,,,,,,,,,,,
List 1,Q9JII5,DAZAP1,DAZ-associated protein 1,,,,,,,,,,,
List 1,Q33DR2,PDSS1,Decaprenyl-diphosphate synthase subunit 1,,,,,,,,,,,
List 1,Q33DR3,PDSS2,Decaprenyl-diphosphate synthase subunit 2,,,,,,,,,,,
List 1,Q3U0B3,DHRS11,Dehydrogenase/reductase SDR family member 11,,,,,,,,,,,
List 1,Q8VCH6,DHCR24,Delta(24)-sterol reductase,,,,,,,,,,,
List 1,Q9Z110,ALDH18A1,Delta-1-pyrroline-5-carboxylate synthase,,,,,,,,,,,
List 1,Q3TLR7,DTL,Denticleless protein homolog,,,,,,,,,,,
List 1,Q3TXU5,DHPS,Deoxyhypusine synthase,,,,,,,,,,,
List 1,P55850,DSC3,Desmocollin-3,,,,,,,,,,,
List 1,Q9EQF5,DPYS,Dihydropyrimidinase,,,,,,,,,,,
List 1,Q9EQF6,DPYSL5,Dihydropyrimidinase-related protein 5,,,,,,,,,,,
List 1,Q8VHG0,FMO4,Dimethylaniline monooxygenase [N-oxide-forming] 4,,,,,,,,,,,
List 1,Q99KK7,DPP3,Dipeptidyl peptidase 3,,,,,,,,,,,
List 1,Q8BPM0,DAAM1,Disheveled-associated activator of morphogenesis 1,,,,,,,,,,,
List 1,O35598,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,,,,,,,,,,,
List 1,Q61824,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,,,,,,,,,,,
List 1,O35674,ADAM19,Disintegrin and metalloproteinase domain-containing protein 19,,,,,,,,,,,
List 1,Q811Q4,ADAM29,Disintegrin and metalloproteinase domain-containing protein 29,,,,,,,,,,,
List 1,Q8K4R9,DLGAP5,Disks large-associated protein 5,,,,,,,,,,,
List 1,O88508,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,,,,,,,,,,,
List 1,Q3U1J4,DDB1,DNA damage-binding protein 1,,,,,,,,,,,
List 1,Q8BHK9,ERCC6L,DNA excision repair protein ERCC-6-like,,,,,,,,,,,
List 1,P33609,POLA1,DNA polymerase alpha catalytic subunit,,,,,,,,,,,
List 1,P51612,XPC,DNA repair protein complementing XP-C cells homolog,,,,,,,,,,,
List 1,Q9D600,GINS2,DNA replication complex GINS protein PSF2,,,,,,,,,,,
List 1,Q8QZV0,DEDD2,DNA-binding death effector domain-containing protein 2,,,,,,,,,,,
List 1,Q03267,IKZF1,DNA-binding protein Ikaros,,,,,,,,,,,
List 1,Q8CFI7,POLR2B,DNA-directed RNA polymerase II subunit RPB2,,,,,,,,,,,
List 1,Q9CZT4,POLR3E,DNA-directed RNA polymerase III subunit RPC5,,,,,,,,,,,
List 1,Q80UW8,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",,,,,,,,,,,
List 1,Q9QYI5,DNAJB2,DnaJ homolog subfamily B member 2,,,,,,,,,,,
List 1,Q91ZM9,DOK5,Docking protein 5,,,,,,,,,,,
List 1,Q3TDQ1,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,,,,,,,,,,,
List 1,Q5DU00,DCDC2,Doublecortin domain-containing protein 2,,,,,,,,,,,
List 1,Q80WT2,DMRT3,Doublesex- and mab-3-related transcription factor 3,,,,,,,,,,,
List 1,Q9D0T2,DUSP12,Dual specificity protein phosphatase 12,,,,,,,,,,,
List 1,Q3UIR3,DTX3L,E3 ubiquitin-protein ligase DTX3L,,,,,,,,,,,
List 1,Q8BXR6,PELI3,E3 ubiquitin-protein ligase pellino homolog 3,,,,,,,,,,,
List 1,Q80U04,PJA2,E3 ubiquitin-protein ligase Praja-2,,,,,,,,,,,
List 1,Q9WTV7,RLIM,E3 ubiquitin-protein ligase RLIM,,,,,,,,,,,
List 1,O54965,RNF13,E3 ubiquitin-protein ligase RNF13,,,,,,,,,,,
List 1,Q99KR6,RNF34,E3 ubiquitin-protein ligase RNF34,,,,,,,,,,,
List 1,Q69ZI1,SH3RF1,E3 ubiquitin-protein ligase SH3RF1,,,,,,,,,,,
List 1,Q9DBY1,SYVN1,E3 ubiquitin-protein ligase synoviolin,,,,,,,,,,,
List 1,O55026,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,,,,,,,,,,,
List 1,Q9D9T8,EFHC1,EF-hand domain-containing protein 1,,,,,,,,,,,
List 1,Q9QXY6,EHD3,EH domain-containing protein 3,,,,,,,,,,,
List 1,Q61701,ELAVL4,ELAV-like protein 4,,,,,,,,,,,
List 1,Q8JZR6,SLC4A8,Electroneutral sodium bicarbonate exchanger 1,,,,,,,,,,,
List 1,Q8K2D3,EDC3,Enhancer of mRNA-decapping protein 3,,,,,,,,,,,
List 1,Q03145,EPHA2,Ephrin type-A receptor 2,,,,,,,,,,,
List 1,Q62413,EPHA6,Ephrin type-A receptor 6,,,,,,,,,,,
List 1,Q08509,EPS8,Epidermal growth factor receptor kinase substrate 8,,,,,,,,,,,
List 1,P36368,EGFBP2,Epidermal growth factor-binding protein type B,,,,,,,,,,,
List 1,O70258,SGCE,Epsilon-sarcoglycan,,,,,,,,,,,
List 1,P62509,ESRRG,Estrogen-related receptor gamma,,,,,,,,,,,
List 1,Q61211,EIF2D,Eukaryotic translation initiation factor 2D,,,,,,,,,,,
List 1,Q8R1B4,EIF3C,Eukaryotic translation initiation factor 3 subunit C,,,,,,,,,,,
List 1,P63242,EIF5A,Eukaryotic translation initiation factor 5A-1,,,,,,,,,,,
List 1,Q3TPX4,EXOC5,Exocyst complex component 5,,,,,,,,,,,
List 1,Q8VBV3,EXOSC2,Exosome complex component RRP4,,,,,,,,,,,
List 1,Q7TQK4,EXOSC3,Exosome complex component RRP40,,,,,,,,,,,
List 1,Q9ERK4,CSE1L,Exportin-2,,,,,,,,,,,
List 1,Q920B9,SUPT16H,FACT complex subunit SPT16,,,,,,,,,,,
List 1,Q9JIX9,FASTK,Fas-activated serine/threonine kinase,,,,,,,,,,,
List 1,Q6TYB5,FEZ2,Fasciculation and elongation protein zeta-2,,,,,,,,,,,
List 1,Q7TPD1,FBXO11,F-box only protein 11,,,,,,,,,,,
List 1,Q8BIG4,FBXO28,F-box only protein 28,,,,,,,,,,,
List 1,P62932,FBXO40,F-box only protein 40,,,,,,,,,,,
List 1,Q8CDI2,FBXO43,F-box only protein 43,,,,,,,,,,,
List 1,Q8BH70,FBXL4,F-box/LRR-repeat protein 4,,,,,,,,,,,
List 1,Q3ULA2,BTRC,F-box/WD repeat-containing protein 1A,,,,,,,,,,,
List 1,Q8K285,FCHO1,FCH domain only protein 1,,,,,,,,,,,
List 1,P59113,FERMT1,Fermitin family homolog 1,,,,,,,,,,,
List 1,P09528,FTH1,Ferritin heavy chain,,,,,,,,,,,
List 1,Q9QXC1,FETUB,Fetuin-B,,,,,,,,,,,
List 1,Q0VDQ9,FEZF1,Fez family zinc finger protein 1,,,,,,,,,,,
List 1,Q8QZS3,FLCN,Folliculin,,,,,,,,,,,
List 1,Q9QY14,FOXE3,Forkhead box protein E3,,,,,,,,,,,
List 1,P58462,FOXP1,Forkhead box protein P1,,,,,,,,,,,
List 1,P58463,FOXP2,Forkhead box protein P2,,,,,,,,,,,
List 1,Q8BQB4,FJX1,Four-jointed box protein 1,,,,,,,,,,,
List 1,Q5H8B9,FREM3,FRAS1-related extracellular matrix protein 3,,,,,,,,,,,
List 1,Q8VDC1,FYCO1,FYVE and coiled-coil domain-containing protein 1,,,,,,,,,,,
List 1,P52734,FGD1,"FYVE, RhoGEF and PH domain-containing protein 1",,,,,,,,,,,
List 1,Q69ZL1,FGD6,"FYVE, RhoGEF and PH domain-containing protein 6",,,,,,,,,,,
List 1,Q5RJY2,G2E3,G2/M phase-specific E3 ubiquitin-protein ligase,,,,,,,,,,,
List 1,P54818,GALC,Galactocerebrosidase,,,,,,,,,,,
List 1,P16110,LGALS3,Galectin-3,,,,,,,,,,,
List 1,Q9EST1,GSDMA,Gasdermin-A,,,,,,,,,,,
List 1,Q99NB5,GSDMC,Gasdermin-C,,,,,,,,,,,
List 1,Q8BZM1,GLMN,Glomulin,,,,,,,,,,,
List 1,Q8K3I9,GLCCI1,Glucocorticoid-induced transcript 1 protein,,,,,,,,,,,
List 1,Q3UHH8,GXYLT1,Glucoside xylosyltransferase 1,,,,,,,,,,,
List 1,Q810K9,GXYLT2,Glucoside xylosyltransferase 2,,,,,,,,,,,
List 1,P17439,GBA,Glucosylceramidase,,,,,,,,,,,
